TRANS_NUM,Truck,Account,Commodity,Out Date/Time,Net Tons,Ticket Total
62791,154trd H2,154,H2,3/2/2020,0.05,0
62792,154red I-2,154,I-2,3/2/2020,0.11,0
62793,182,182,DC,3/2/2020,1.34,61.1
62795,182blu,182,DC,3/2/2020,0.19,8.66
62796,1921-O,162,H-2,3/2/2020,3.75,0
62797,154fx4,154,H2,3/2/2020,0.03,0
62798,182titan,182,DC,3/2/2020,0.15,6.84
62799,1221,173,H-3,3/2/2020,26.28,0
62800,154white,154,H2,3/2/2020,0.28,0
62801,182,174,DC,3/2/2020,0.62,28.27
62802,1307,240,H1,3/2/2020,4.62,210.67
62803,1921-C,162,H-2,3/2/2020,9.97,0
62804,154trd,154,H2,3/2/2020,0.16,0
62805,154,236,H2,3/2/2020,1.04,0
62806,154green,154,H2,3/2/2020,0.4,0
62807,154tahoe,154,I-2,3/2/2020,0.26,0
62808,154hd,154,H2,3/2/2020,0.1,0
62810,1904,162,H-2,3/2/2020,5.05,0
62811,154z,154,I-2,3/2/2020,0.03,0
62812,154titan,154,I-2,3/2/2020,0.12,0
62813,CoH2,154,H-2,3/2/2020,3.32,0
62814,1 2 3,154,H-2,3/2/2020,1.73,0
62815,154,236,H-2,3/2/2020,0.35,0
62816,182,182,DC,3/2/2020,0.63,28.73
62817,154red,154,H2,3/2/2020,0.26,0
62818,154gary,154,H2,3/2/2020,0.13,0
62819,182trd,182,DC,3/2/2020,0.18,8.21
62820,154dod,154,H2,3/2/2020,0.24,0
62821,154bbly,154,H2,3/2/2020,0.12,0
62822,1921-O,162,H-2,3/2/2020,4.08,0
62823,Renee 2,194,H1,3/2/2020,0.26,11.86
62824,154,154,I-2,3/2/2020,0.09,0
62825,154nis,154,I-2,3/2/2020,0.29,0
62826,154vic,154,H2,3/2/2020,0.27,0
62827,1921-O,162,H-2,3/2/2020,3.56,0
62828,154toy,154,H2,3/2/2020,0.18,0
62829,1221,173,H-3,3/2/2020,19.9,0
