TRANS_NUM,Truck,Account,Commodity,Out Date/Time,Net Tons,Ticket Total
94104,1706JCGcom,240,H1,12/01/2021 07:58:43,1.6,72.96
94105,154ccolo,154,I-2,12/01/2021 08:25:43,0.05,0
94106,154wf150,154,H2,12/01/2021 08:31:58,0.15,0
94107,2664,173,H-3,12/01/2021 08:34:44,25.81,0
94108,238,238,DC,12/01/2021 08:36:51,0.49,22.34
94109,154btac,154,H2,12/01/2021 08:48:50,0.09,0
94110,154bf150,154,H2,12/01/2021 08:58:06,0.03,0
94111,154rtac,154,H2,12/01/2021 08:59:36,0.03,0
94112,154stun,154,H2,12/01/2021 09:14:54,0.04,0
94113,154suv,154,H2,12/01/2021 09:15:04,0.02,0
94114,1133,173,H-3,12/01/2021 09:09:27,27.64,0
94115,154car,154,H2,12/01/2021 09:15:14,0.02,0
94116,154wf250/t,154,H2,12/01/2021 09:38:32,0.12,0
94117,C 0 H 1,154,H-2,12/01/2021 09:47:49,0.37,0
94118,154w3500/t,154,H2,12/01/2021 10:36:48,0.49,0
94119,154rram/t,182,DC,12/01/2021 10:51:38,1.37,62.47
94120,154rsier,154,H2,12/01/2021 10:54:00,0.03,0
94121,154w250,154,H2,12/01/2021 11:17:57,0.19,0
94122,182davis,182,DC,12/01/2021 11:19:05,2.12,96.67
94123,Renee ,194,H1,12/01/2021 11:16:53,0.98,44.69
94124,1925,162,H-2,12/01/2021 11:26:46,7.94,0
94125,154bgmc,154,H2,12/01/2021 11:50:01,0.04,0
94126,CoH2,154,I-2,12/01/2021 11:44:30,0.22,0
94127,154bf150,154,H2,12/01/2021 11:51:12,0.05,0
94128,1926 20 yd,162,H-2,12/01/2021 11:48:34,0.94,0
94129,154gsil,154,H2,12/01/2021 12:34:16,0.05,0
94130,154btoy,154,H2,12/01/2021 12:39:54,0.13,0
94131,154wf150,154,H2,12/01/2021 12:42:16,0.03,0
94132,154w4x4/t,154,H2,12/01/2021 12:42:29,0.1,0
94133,154gf350/t,154,H2,12/01/2021 12:50:16,0.86,0
94134,1133,173,H-3,12/01/2021 12:39:02,26.86,0
94135,182not4hir,182,DC,12/01/2021 13:01:58,1.41,64.3
94136,154g2500hd,154,H2,12/01/2021 12:53:28,0.04,0
94137,154mram,154,H2,12/01/2021 12:56:52,0.11,0
94138,1905,162,H-2,12/01/2021 12:50:59,8.26,0
94139,154gsuv,154,H2,12/01/2021 13:00:19,0.01,0
94140,1926 O,162,H-2,12/01/2021 12:54:46,1.77,0
94141,154wf150,154,H2,12/01/2021 13:14:54,0.28,0
94142,154wniss,154,H2,12/01/2021 13:12:56,0.04,0
94143,154bz71,154,H2,12/01/2021 13:16:46,0.1,0
94144,CoH2,154,I-2,12/01/2021 13:17:45,0.2,0
94145,154bf150/t,154,H2,12/01/2021 13:45:45,0.09,0
94146,154sf150/t,154,H2,12/01/2021 13:57:48,0.31,0
94147,154,154,H-2,12/01/2021 14:02:16,0.06,0
94148,1923,162,H-2,12/01/2021 13:54:01,12.3,0
94149,154bcsil,154,H2,12/01/2021 14:07:09,0.09,0
94150,154redram/,182,DC,12/01/2021 14:15:41,1.07,48.79
94151,1925,162,H-2,12/01/2021 14:04:30,3.37,0
94152,154uhaul,154,H2,12/01/2021 14:18:01,0.02,0
94153,154mniss,154,H2,12/01/2021 14:28:54,0.13,0
94154,1924,162,H-2,12/01/2021 14:08:31,7.38,0
94155,154rran,154,H2,12/01/2021 14:19:32,0.21,0
94156,154rtoy,154,W-2 (White Goods),12/01/2021 14:22:32,0.2,0
94157,154rf150,154,H2,12/01/2021 14:23:12,0.21,0
94158,154rram,154,H2,12/01/2021 14:32:50,0.05,0
94159,154notforh,154,I-2,12/01/2021 14:40:43,0.27,0
94160,154wram/t,182,DC,12/01/2021 14:50:15,0.69,31.46
94161,CoH2,154,I-2,12/01/2021 14:41:15,0.49,0
94162,W-15,164,I-2,12/01/2021 14:46:21,3.88,0
94163,154sgmc,154,H2,12/01/2021 15:19:58,0.09,0
94164,154uhaul,154,H2,12/01/2021 15:28:11,0.19,0
94165,1906,162,H-2,12/01/2021 15:35:47,11.68,0
94166,154wram/t,154,H2,12/01/2021 15:56:07,0.07,0
94167,1133,173,H-3,12/01/2021 15:53:02,27.03,0
94169,154wf150,154,H2,12/02/2021 08:16:21,0.19,0
94171,1926 C,162,H-2,12/02/2021 08:13:46,7.68,0
94172,1001JCG20y,240,H1,12/02/2021 08:17:41,1.82,82.99
94173,182wf350,182,DC,12/02/2021 08:48:09,1.08,49.25
94174,154mf250/t,154,H2,12/02/2021 08:46:08,0.41,0
94175,238,238,DC,12/02/2021 08:36:49,0.25,11.4
94176,154bf150/t,154,I-2,12/02/2021 08:54:41,0.09,0
94177,2664,173,H-3,12/02/2021 08:50:27,29.13,0
94178,jwcland,182,DC,12/02/2021 09:01:16,0.11,5.02
94179,CoH2,154,I-2,12/02/2021 09:06:01,0.26,0
94180,1133,173,H-3,12/02/2021 09:20:22,25.99,0
94181,154bgmc/t,182,DC,12/02/2021 09:38:40,0.34,15.5
94182,154bram/t,182,DC,12/02/2021 09:46:20,1.21,55.18
94183,154suv/t,154,I-2,12/02/2021 10:02:22,0.14,0
94184,154mgmc/tr,182,DC,12/02/2021 10:05:36,3.56,162.34
94185,154bf250,154,H2,12/02/2021 10:01:03,0.08,0
94186,154wf350/t,154,I-2,12/02/2021 10:45:30,0.79,0
94187,1926 O,162,H-2,12/02/2021 09:52:43,0.31,0
94188,154wram/tr,120,DC,12/02/2021 10:38:13,1.28,58.37
94189,405-1489,150,I-2,12/02/2021 10:00:40,0.29,0
94190,1001CAL30,240,H1,12/02/2021 10:03:12,1.34,61.1
94191,Renne's 94,194,H1,12/02/2021 10:09:26,0.79,36.02
94192,154mgmc/t,154,I-2,12/02/2021 10:29:00,0.52,0
94193,154rf150,154,H2,12/02/2021 10:21:58,0.06,0
94194,154mtoy,154,H2,12/02/2021 10:29:48,0.07,0
94195,CoH2,154,I-2,12/02/2021 10:17:05,0.27,0
94196,154wc3500,154,H2,12/02/2021 10:40:09,0.08,0
94197,154wutil/,154,I-2,12/02/2021 10:59:18,0.39,0
94198,154bram/tr,182,DC,12/02/2021 11:08:16,0.58,26.45
94200,154stoy,154,H2,12/02/2021 11:21:08,0.03,0
94201,154wf150,154,H2,12/02/2021 11:29:33,0.14,0
94202,154bch,154,H2,12/02/2021 11:31:36,0.04,0
94203,154marram,154,H2,12/02/2021 11:43:01,0.04,0
94204,182davis,182,DC,12/02/2021 11:48:23,0.12,5.47
94205,154wf150,154,H2,12/02/2021 11:50:18,0.08,0
94206,405-1489,150,I-2,12/02/2021 11:51:26,0.24,0
94207,1906,162,H-2,12/02/2021 11:52:45,4.2,0
94208,154bcsil,154,H2,12/02/2021 12:10:26,0.19,0
94209,154tfcolo,154,H2,12/02/2021 12:11:08,0,0
94210,154bf350,154,H2,12/02/2021 12:18:40,0.08,0
94211,CoH2,154,I-2,12/02/2021 12:09:33,0.33,0
94212,154tf150,154,H2,12/02/2021 12:23:59,0.02,0
94213,1905,162,H-2,12/02/2021 12:16:47,4.34,0
94214,238,238,DC,12/02/2021 12:21:05,1.72,78.43
94215,154suv/tr,154,H2,12/02/2021 12:35:35,0.24,0
94216,1907,162,H-2,12/02/2021 12:27:16,5.09,0
94217,harrisco,161,H2,12/02/2021 12:39:48,0.09,0
94218,154wram,154,H2,12/02/2021 12:41:06,0.02,0
94219,1 2 3,154,H-2,12/02/2021 12:40:30,1.53,0
94220,182dumpit\,182,DC,12/02/2021 12:52:50,1,45.6
94221,1133,173,H-3,12/02/2021 12:44:16,27.77,0
94222,1926 O,162,H-2,12/02/2021 12:49:33,0.35,0
94223,154wsuv,154,H2,12/02/2021 13:15:19,0.09,0
94224,154stac,154,H2,12/02/2021 13:17:11,0.07,0
94225,CoH2,154,I-2,12/02/2021 13:12:27,0.53,0
94226,1925,162,H-2,12/02/2021 13:14:18,5.09,0
94227,154not4hir,154,H2,12/02/2021 13:29:50,0.24,0
94228,1923,162,H-2,12/02/2021 13:25:25,6.19,0
94229,154tf150,154,H2,12/02/2021 13:37:38,0.09,0
94230,154CAR/T,154,H2,12/02/2021 13:45:45,0.16,0
94231,154ssilver,154,H2,12/02/2021 13:45:22,0.08,0
94232,CoH2,154,I-2,12/02/2021 13:50:42,0.73,0
94233,154suv,154,H2,12/02/2021 14:06:32,0.01,0
94234,154bsier,154,H2,12/02/2021 14:12:46,0.05,0
94235,154uhaul,154,H2,12/02/2021 14:27:27,0.26,0
94237,154siltoy,154,H2,12/02/2021 14:26:27,0.02,0
94238,1926 C,162,H-2,12/02/2021 14:25:21,7.39,0
94239,154wf350/t,122,DC,12/02/2021 14:40:17,0.39,17.78
94240,154mf150/t,182,DC,12/02/2021 14:49:47,0.77,35.11
94241,154wrang,154,I-2,12/02/2021 14:49:15,0.04,0
94242,154btoy/t,154,H2,12/02/2021 14:54:46,0.27,0
94243,CoH2,154,I-2,12/02/2021 14:58:02,0.71,0
94244,154ran,154,H2,12/02/2021 15:08:20,0.08,0
94245,154bf150/t,154,I-2,12/02/2021 15:38:32,0.15,0
94246,154bf150,154,W-2 (White Goods),12/02/2021 15:19:00,0.01,0
94247,154tc1500,154,H2,12/02/2021 15:22:36,0.08,0
94248,154rf150/t,154,H2,12/02/2021 15:36:25,0.21,0
94249,154bjeep/t,154,H2,12/02/2021 15:35:59,0.21,0
94250,154wtund/t,154,H2,12/02/2021 15:50:14,0.26,0
94251,154wf50,154,H2,12/02/2021 15:56:14,0.06,0
94252,1133,173,H-3,12/02/2021 15:54:48,27,0
94253,1706open,240,H1,12/03/2021 08:03:12,0.34,15.5
94254,CoH2,154,I-2,12/03/2021 08:14:22,0.72,0
94255,1545blu,154,H2,12/03/2021 08:22:57,0.06,0
94256,154,154,H-2,12/03/2021 08:32:55,0.02,0
94257,182ford,182,DC,12/03/2021 08:53:47,0.36,16.42
94258,1891,173,H-3,12/03/2021 08:46:52,27.8,0
94259,238,238,DC,12/03/2021 08:56:36,0.1,4.56
94260,154farm,154,H2,12/03/2021 09:11:15,0.39,0
94261,Renne's 94,194,H1,12/03/2021 09:04:50,0.53,24.17
94262,1133,173,H-3,12/03/2021 09:06:28,25.76,0
94263,1926 20 yd,162,H-2,12/03/2021 09:20:17,0.79,0
94264,154plum,154,H2,12/03/2021 09:41:50,0.08,0
94265,182,239,DC,12/03/2021 09:52:00,2.57,117.19
94266,1706Calcom,240,H1,12/03/2021 09:49:28,7.29,332.42
